siret,siren,nic
90945018100013,909450181,00013
91163834400018,911638344,00018
78297783900029,782977839,00029
90949239900011,909492399,00011
90950533100027,909505331,00027
77694494400011,776944944,00011
90951937300015,909519373,00015
77694494400045,776944944,00045
90952507300013,909525073,00013
88761552400014,887615524,00014
77694494400086,776944944,00086
88761613400029,887616134,00029
39336786700024,393367867,00024
90956958400024,909569584,00024
33354415300344,333544153,00344
38531301000014,385313010,00014
34174419100014,341744191,00014
19250043700046,192500437,00046
90962985900010,909629859,00010
88791060200010,887910602,00010
90965182000013,909651820,00013
88782068600012,887820686,00012
41479762100011,414797621,00011
90966279300019,909662793,00019
90967013500013,909670135,00013
49434401300029,494344013,00029
51959927800073,519599278,00073
90969298000024,909692980,00024
83404580900011,834045809,00011
42478033600014,424780336,00014
13002271800014,130022718,00014
90979608800013,909796088,00013
38935885400054,389358854,00054
90982321300014,909823213,00014
90983257800019,909832578,00019
90983441800016,909834418,00016
77569338501135,775693385,01135
53018898600059,530188986,00059
41522541600064,415225416,00064
88815423400015,888154234,00015
90988499100029,909884991,00029
90991769200016,909917692,00016
90992086000014,909920860,00014
90993107300029,909931073,00029
90998195300021,909981953,00021
90998319900011,909983199,00011
89759407300016,897594073,00016
83083147500025,830831475,00025
91003850400015,910038504,00015
88834517000011,888345170,00011
91005001200012,910050012,00012
91008631300020,910086313,00020
88841653400038,888416534,00038
82334166400022,823341664,00022
91011833000026,910118330,00026
88846866700017,888468667,00017
91014574700010,910145747,00010
90122932800017,901229328,00017
50921839200025,509218392,00025
91016203100017,910162031,00017
88863978800023,888639788,00023
91025206300011,910252063,00011
91025906800013,910259068,00013
91027489300015,910274893,00015
88438028800016,884380288,00016
83134648100029,831346481,00029
91032129800028,910321298,00028
48289309600024,482893096,00024
91036556800013,910365568,00013
52109840000034,521098400,00034
91038666300017,910386663,00017
84930813500029,849308135,00029
88889101700020,888891017,00020
91040807900010,910408079,00010
88898586800023,888985868,00023
91046461900014,910464619,00014
91046739800012,910467398,00012
91046959200018,910469592,00018
49104921900042,491049219,00042
91047158000019,910471580,00019
91047324800011,910473248,00011
47960778000042,479607780,00042
88912886400010,889128864,00010
34465627700078,344656277,00078
88915378900017,889153789,00017
91050287100015,910502871,00015
41885869200043,418858692,00043
91050381200018,910503812,00018
41888324500049,418883245,00049
83172141000023,831721410,00023
91050803500011,910508035,00011
91051835600019,910518356,00019
34465627700334,344656277,00334
91053930300016,910539303,00016
88927033600015,889270336,00015
91054173900025,910541739,00025
91054657100019,910546571,00019
18882211800017,188822118,00017
26240600200069,262406002,00069
26240600200093,262406002,00093
77895430500018,778954305,00018
91056852600016,910568526,00016
91057282500016,910572825,00016
91057292400017,910572924,00017
89390590100011,893905901,00011
91060706800012,910607068,00012
91062122600018,910621226,00018
34539593300046,345395933,00046
91063846900023,910638469,00023
91064556300016,910645563,00016
83915858100026,839158581,00026
91067543800014,910675438,00014
34750655200020,347506552,00020
88947040700020,889470407,00020
52226703800019,522267038,00019
88950774500012,889507745,00012
91071677800014,910716778,00014
91073578600014,910735786,00014
88953831000018,889538310,00018
91082086900014,910820869,00014
88956634500019,889566345,00019
91082116400019,910821164,00019
52887146000010,528871460,00010
91083174200010,910831742,00010
83231096500013,832310965,00013
88960123300014,889601233,00014
91085259900018,910852599,00018
91085437100010,910854371,00010
88967334900029,889673349,00029
88969139000021,889691390,00021
88973567600013,889735676,00013
91088754600026,910887546,00026
91088955900019,910889559,00019
88975805800016,889758058,00016
88977900500012,889779005,00012
91089833700019,910898337,00019
91094435400018,910944354,00018
91097589500012,910975895,00012
77811428000036,778114280,00036
91098390700015,910983907,00015
91105674500019,911056745,00019
38138042700058,381380427,00058
34928432300038,349284323,00038
91117029800010,911170298,00010
48505061100014,485050611,00014
91119153400013,911191534,00013
89029327700012,890293277,00012
89029716100014,890297161,00014
91126315000011,911263150,00011
89038952100018,890389521,00018
91129630900014,911296309,00014
91129637400018,911296374,00018
90133099300014,901330993,00014
91130543100015,911305431,00015
89046263300011,890462633,00011
48909912700024,489099127,00024
91131186800010,911311868,00010
89047673200015,890476732,00015
91133783000010,911337830,00010
89049210100013,890492101,00013
91135688900012,911356889,00012
89049702700015,890497027,00015
81041928300017,810419283,00017
42037863000024,420378630,00024
91139925100014,911399251,00014
91141516400019,911415164,00019
52376681400025,523766814,00025
91142209500016,911422095,00016
89060046300016,890600463,00016
84853625600029,848536256,00029
91143030400012,911430304,00012
91143308400017,911433084,00017
91143893500015,911438935,00015
91144877700019,911448777,00019
91145243100016,911452431,00016
91147144900015,911471449,00015
89503110200018,895031102,00018
91147636400029,911476364,00029
91148592800012,911485928,00012
91148995300016,911489953,00016
91149217100010,911492171,00010
91150289600028,911502896,00028
83367881600020,833678816,00020
91151683900014,911516839,00014
91152747100013,911527471,00013
91154867500014,911548675,00014
91155454100019,911554541,00019
52419611000018,524196110,00018
52422056300034,524220563,00034
91168030400019,911680304,00019
91168639200018,911686392,00018
91172352600016,911723526,00016
91174072800017,911740728,00017
91175584100010,911755841,00010
81110251600036,811102516,00036
50409155400049,504091554,00049
91182949700013,911829497,00013
89090231500013,890902315,00013
91183883700035,911838837,00035
32441928200383,324419282,00383
91187307300017,911873073,00017
91188089600012,911880896,00012
91189342800019,911893428,00019
91189354300015,911893543,00015
75325577700025,753255777,00025
89099978200018,890999782,00018
83409771900027,834097719,00027
91196575400011,911965754,00011
50020624800048,500206248,00048
91197302200013,911973022,00013
89106648200011,891066482,00011
89108710800017,891087108,00017
91204116700012,912041167,00012
91204509300016,912045093,00016
89916417200012,899164172,00012
91205111700014,912051117,00014
80533588200025,805335882,00025
89117593700012,891175937,00012
91090644500010,910906445,00010
91211143200015,912111432,00015
89118005100015,891180051,00015
91211531800012,912115318,00012
81142142900028,811421429,00028
91215340000011,912153400,00011
91216194000016,912161940,00016
91216651900013,912166519,00013
91219513800017,912195138,00017
81150392900010,811503929,00010
91224648500011,912246485,00011
89125404700022,891254047,00022
91224728500014,912247285,00014
91226018900010,912260189,00010
91227315800010,912273158,00010
91227517900014,912275179,00014
91228291000013,912282910,00013
91229635700011,912296357,00011
89133654700023,891336547,00023
50015802700036,500158027,00036
91234277100017,912342771,00017
89137595800016,891375958,00016
91237170500019,912371705,00019
39355395300042,393553953,00042
89139272200023,891392722,00023
89144590000014,891445900,00014
91242615200019,912426152,00019
91245624100013,912456241,00013
91245869200015,912458692,00015
91246087000013,912460870,00013
89147852100026,891478521,00026
91246528300022,912465283,00022
19310044300020,193100443,00020
19310017900038,193100179,00038
91806091400010,918060914,00010
35323259800030,353232598,00030
49861928700010,498619287,00010
19290071000026,192900710,00026
42219375500564,422193755,00564
91260876700014,912608767,00014
89160462100013,891604621,00013
42219375500689,422193755,00689
91267700200012,912677002,00012
42219375500713,422193755,00713
91269276100014,912692761,00014
91272849000018,912728490,00018
91277046800011,912770468,00011
81207378100039,812073781,00039
91279262900012,912792629,00012
52752914300036,527529143,00036
91280488700012,912804887,00012
91281358100010,912813581,00010
91283052800010,912830528,00010
91284719100018,912847191,00018
78242485700020,782424857,00020
91287583800019,912875838,00019
91287925100011,912879251,00011
89188283900014,891882839,00014
83501285700016,835012857,00016
81229926100022,812299261,00022
81229926100030,812299261,00030
91289511700014,912895117,00014
83503467900026,835034679,00026
81229926100048,812299261,00048
45033578100024,450335781,00024
81229926100055,812299261,00055
81229926100063,812299261,00063
83508624000016,835086240,00016
91294671200011,912946712,00011
89197471900025,891974719,00025
83514344700026,835143447,00026
26890015600103,268900156,00103
91300907200020,913009072,00020
83798882300014,837988823,00014
91303229800014,913032298,00014
75039466000013,750394660,00013
91306724500013,913067245,00013
89207005300012,892070053,00012
81240153700012,812401537,00012
42302346400021,423023464,00021
78875059400020,788750594,00020
91307559400014,913075594,00014
91307898600019,913078986,00019
78288385400161,782883854,00161
37761090200266,377610902,00266
89210620400019,892106204,00019
91311071400015,913110714,00015
90496050700013,904960507,00013
37761090200290,377610902,00290
91311372600016,913113726,00016
90436669700012,904366697,00012
89216710700010,892167107,00010
90454895500015,904548955,00015
91313912700017,913139127,00017
89216798200016,892167982,00016
91315906700010,913159067,00010
26950293600017,269502936,00017
91315987700012,913159877,00012
91316483600011,913164836,00011
91320311300018,913203113,00018
91323113000018,913231130,00018
91325186400017,913251864,00017
91327052600019,913270526,00019
89226049800019,892260498,00019
91329627300018,913296273,00018
89227809400016,892278094,00016
91331238500010,913312385,00010
91332825800011,913328258,00011
42362826200069,423628262,00069
41156588000027,411565880,00027
49098556100045,490985561,00045
91336638100014,913366381,00014
83771710700010,837717107,00010
91338829400013,913388294,00013
30016423300052,300164233,00052
89235229500018,892352295,00018
37865526000040,378655260,00040
89236931500015,892369315,00015
91342433900012,913424339,00012
91345697600012,913456976,00012
81270357700021,812703577,00021
91345961600011,913459616,00011
49120441800033,491204418,00033
91347609900019,913476099,00019
90168715200016,901687152,00016
89936355000018,899363550,00018
91351012900012,913510129,00012
91355191700010,913551917,00010
91357614600017,913576146,00017
49147555400045,491475554,00045
91358587300015,913585873,00015
49147555400086,491475554,00086
42403977400023,424039774,00023
91361302200015,913613022,00015
91363210500015,913632105,00015
91366563400014,913665634,00014
91369727200015,913697272,00015
91370984600012,913709846,00012
89261090800030,892610908,00030
44223513100012,442235131,00012
91373385300018,913733853,00018
47946661700020,479466617,00020
89926771000015,899267710,00015
83818927200019,838189272,00019
37945726000014,379457260,00014
91377584700019,913775847,00019
80259476200014,802594762,00014
89279808300010,892798083,00010
91382321700017,913823217,00017
89280089700019,892800897,00019
91384684600016,913846846,00016
91386440100017,913864401,00017
89293803600027,892938036,00027
91391928800013,913919288,00013
89297836200010,892978362,00010
81323269100028,813232691,00028
91397798900015,913977989,00015
89300826800011,893008268,00011
91401458400017,914014584,00017
91404281700017,914042817,00017
88402543800018,884025438,00018
91404599200015,914045992,00015
37975762800035,379757628,00035
91404857400018,914048574,00018
89308904500015,893089045,00015
91407889400013,914078894,00013
91408979200016,914089792,00016
91409480000010,914094800,00010
89312664900027,893126649,00027
81333296200022,813332962,00022
85358805100013,853588051,00013
83845596200020,838455962,00020
89427013100010,894270131,00010
91415341600013,914153416,00013
89942415400016,899424154,00016
91415678100017,914156781,00017
91416577400011,914165774,00011
19692866700027,196928667,00027
40432236400013,404322364,00013
91422685700011,914226857,00011
89324195000029,893241950,00029
91424307600017,914243076,00017
89328632800024,893286328,00024
91426165600013,914261656,00013
91426670500013,914266705,00013
91430606300019,914306063,00019
91430825900011,914308259,00011
91432919800016,914329198,00016
49262552000019,492625520,00019
89339043500012,893390435,00012
91434048400015,914340484,00015
84338005600013,843380056,00013
89342866400013,893428664,00013
91434987300010,914349873,00010
30292314900017,302923149,00017
91435098800012,914350988,00012
91439622100014,914396221,00014
91440778800019,914407788,00019
53019881100016,530198811,00016
91442904800012,914429048,00012
91444227200011,914442272,00011
89349969900013,893499699,00013
42869200800033,428692008,00033
89350055300019,893500553,00019
91448712900019,914487129,00019
91451797400012,914517974,00012
91453582800018,914535828,00018
91457018900011,914570189,00011
83894531900021,838945319,00021
85381081000012,853810810,00012
91460789000011,914607890,00011
53060076600022,530600766,00022
91462546200017,914625462,00017
91464649200019,914646492,00019
91466699500016,914666995,00016
89369730000018,893697300,00018
91467599600021,914675996,00021
